item,status,details
static service tag,removed,release no longer uses one reusable service tag
force tag push,removed,script does not move existing tags
asset clobber,removed,script does not replace assets in an existing release
release creation,enabled,every workflow run creates a new GitHub Release
installer asset,enabled,dt_setup.exe is attached to the release
portable asset,enabled,DISMTools.zip is created from bin Debug and attached to the release
hash file,enabled,SHA256SUMS.txt is saved to workflow artifact and hashes are shown in release notes
release notes,enabled,notes include hashes build details assets and git log changes
workflow artifact,enabled,release assets are uploaded as workflow artifact release-assets
manual inputs,enabled,workflow dispatch supports stable preview prerelease and draft
permissions,configured,contents write is set
